EnsembleSelf,FaceFour,Accuracy,0.875,NumClasses,4,Length,350
EnsembleSelf,Wine,Accuracy,0.5370370370370371,NumClasses,2,Length,234
EnsembleSelf,StarLightCurves,Accuracy,0.970495386,NumClasses,3,Length,1024
EnsembleSelf,ChlorineConcentration,Accuracy,0.8052083333333333,NumClasses,3,Length,166
EnsembleSelf,CBF,Accuracy,0.9911111111111112,NumClasses,3,Length,128
EnsembleSelf,TwoLeadECG,Accuracy,0.8279192273924495,NumClasses,2,Length,82
EnsembleSelf,ECGFiveDays,Accuracy,0.8362369337979094,NumClasses,2,Length,136
EnsembleSelf,ToeSegmentation2,Accuracy,0.9615384615384616,NumClasses,2,Length,343
EnsembleSelf,ElectricDevices,Accuracy,0.7538581247568409,NumClasses,7,Length,96
EnsembleSelf,Trace,Accuracy,1,NumClasses,4,Length,275
EnsembleSelf,Haptics,Accuracy,0.4707792207792208,NumClasses,5,Length,1092
EnsembleSelf,Symbols,Accuracy,0.9125628140703518,NumClasses,6,Length,398
EnsembleSelf,Lightning2,Accuracy,0.819672131,NumClasses,2,Length,637
EnsembleSelf,LargeKitchenAppliances,Accuracy,0.9013333333333333,NumClasses,3,Length,720
EnsembleSelf,ShapeletSim,Accuracy,1,NumClasses,2,Length,500
EnsembleSelf,Mallat,Accuracy,0.787633262,NumClasses,8,Length,1024
EnsembleSelf,OliveOil,Accuracy,0.9,NumClasses,4,Length,570
EnsembleSelf,HandOutlines,Accuracy,0.7891891891891892,NumClasses,2,Length,2709
EnsembleSelf,Strawberry,Accuracy,0.9513513513513514,NumClasses,2,Length,235
EnsembleSelf,MoteStrain,Accuracy,0.8306709265175719,NumClasses,2,Length,84
EnsembleSelf,GunPoint,Accuracy,0.9666666666666667,NumClasses,2,Length,150
EnsembleSelf,BirdChicken,Accuracy,0.95,NumClasses,2,Length,512
EnsembleSelf,OSULeaf,Accuracy,0.9173553719008265,NumClasses,6,Length,427
EnsembleSelf,SmallKitchenAppliances,Accuracy,0.7626666666666667,NumClasses,3,Length,720
EnsembleSelf,ECG5000,Accuracy,0.9411111111111111,NumClasses,5,Length,140
EnsembleSelf,UWaveGestureLibraryZ,Accuracy,0.711892797,NumClasses,8,Length,315
EnsembleSelf,ShapesAll,Accuracy,0.815,NumClasses,60,Length,512
EnsembleSelf,Plane,Accuracy,1,NumClasses,7,Length,144
EnsembleSelf,Lightning7,Accuracy,0.8904109589041096,NumClasses,7,Length,319
EnsembleSelf,DistalPhalanxTW,Accuracy,0.6618705035971223,NumClasses,6,Length,80
EnsembleSelf,SyntheticControl,Accuracy,0.9966666666666667,NumClasses,6,Length,60
EnsembleSelf,Fish,Accuracy,0.8171428571428572,NumClasses,7,Length,463
EnsembleSelf,ECG200,Accuracy,0.91,NumClasses,2,Length,96
EnsembleSelf,InsectWingbeatSound,Accuracy,0.5156565656565657,NumClasses,11,Length,256
EnsembleSelf,DistalPhalanxOutlineCorrect,Accuracy,0.75,NumClasses,2,Length,80
EnsembleSelf,Beef,Accuracy,0.7666666666666667,NumClasses,5,Length,470
EnsembleSelf,ToeSegmentation1,Accuracy,0.9824561403508771,NumClasses,2,Length,277
EnsembleSelf,Phoneme,Accuracy,0.3370253164556962,NumClasses,39,Length,1024
EnsembleSelf,Phoneme,Accuracy,0.3328059071729958,NumClasses,39,Length,1024
EnsembleSelf,RefrigerationDevices,Accuracy,0.5973333333333334,NumClasses,3,Length,720
EnsembleSelf,FordB,Accuracy,0.8382716049382716,NumClasses,2,Length,500
EnsembleSelf,ArrowHead,Accuracy,0.52,NumClasses,3,Length,251
EnsembleSelf,MedicalImages,Accuracy,0.7934210526315789,NumClasses,10,Length,99
EnsembleSelf,Adiac,Accuracy,0.710997442,NumClasses,37,Length,176
EnsembleSelf,UWaveGestureLibraryAll,Accuracy,0.861250698,NumClasses,8,Length,945
